,PE,PB,ROA,NetProfitGrowRate
20160603,-236.792041,126.052362,-87.082808,-52.902456
20160608,-13.554838,16.284996,12.297239,-4.316398
20160617,-11.49953,24.496013,12.779996,-2.14399
20160624,-18.498855,46.02869,35.820798,-14.239205
20160701,-9.650381,21.811917,22.158746,8.125563
20160708,-2.228064,15.115769,14.832168,9.44378
20160715,2.240732,15.700963,16.738266,5.519155
20160722,0.302265,-15.209414,22.496167,3.065229
20160729,0.869915,-16.333335,45.551126,27.294459
20160805,6.79895,-1.319952,16.548094,13.501052
20160812,55.00829,10.852522,44.47648,26.071751
20160819,23.0942,5.218285,16.715803,11.210862
20160826,14.297761,-12.986933,4.307045,-4.764985
20160902,24.622065,-16.385012,-12.367851,-29.7134
20160909,-0.473268,-22.747761,-16.465133,-28.530768
20160914,-2.555995,-22.736087,-16.775024,-24.182387
20160923,-0.365014,-20.570878,-15.352211,-22.163858
20160930,6.617808,-24.870024,-19.625911,-34.079718
20161014,8.482356,-41.830676,-24.874492,-48.081469
20161021,7.724261,-41.9863,-32.139378,-53.830595
20161028,1.04592,-14.443022,-13.639459,-23.483767
20161104,-2.789309,-7.761217,-10.890081,-16.90011
20161111,-6.074729,-8.595651,-9.640141,-20.853618
20161118,5.587044,21.211387,-34.997822,-81.512897
20161125,4.120138,18.036873,-31.788037,-80.488426
20161202,37.78625,48.147129,-35.130768,-78.606149
20161209,-6.001389,-1.74102,13.423933,-83.667539
20161216,-2.731112,-6.101776,17.29268,-19.20767
20161223,2.100061,-0.867457,0.255913,-4.015681
20161230,-3.564879,-9.22241,-6.258795,-0.821319
20170106,-0.422673,-3.780289,-2.61298,-2.711708
20170113,-1.231669,-7.601575,-8.268625,0.596725
20170120,-9.457103,-1.999116,-1.35283,5.058639
20170126,-6.870597,2.818341,4.847198,1.757595
20170203,-3.219291,-1.915686,2.830868,0.436349
20170210,-2.133466,-3.41347,1.202002,0.90208
20170217,-1.014299,-3.653049,-5.753671,-8.86635
20170224,-4.66121,-3.876881,0.502855,-7.993254
20170303,-8.664059,-5.705064,3.172973,-7.810828
20170310,-6.665349,-7.96126,6.287317,2.797785
20170317,-6.758011,-11.425867,9.842714,3.41809
20170324,-6.818663,-11.568744,9.565093,3.118487
20170331,-12.642008,-14.573592,11.007054,18.128432
20170407,-19.084913,-16.468643,13.467162,39.078787
20170414,-22.370441,-10.75464,13.505086,34.063888
20170421,-136.868951,90.458437,60.21425,137.559021
20170428,-163.620657,121.456691,70.59085,163.388829
20170505,-23.234284,19.150478,-0.867585,14.035385
20170512,-29.455851,10.86156,9.099185,11.189369
20170519,-18.541485,9.38161,8.416261,4.783003
20170526,-15.488327,10.773787,5.650952,1.267064
20170602,-19.826267,8.903005,2.924233,3.653466
20170609,-8.791966,14.434504,15.296151,-8.616542
20170616,-67.473393,46.612059,-0.611441,-40.756672
20170623,-72.901318,34.530462,-7.141205,-34.778633
20170630,-19.976826,9.833534,2.276063,-6.120329
20170707,-0.968564,-0.270381,13.004624,3.064054
20170714,-3.945292,-1.236244,-0.518908,3.181409
20170721,-6.191285,-5.468097,-7.492633,8.035502
20170728,-8.734871,-9.760314,-11.129781,9.735552
